Date : 2021-06-01 14:47:37
Directory : /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei
Total : 262 files,  73895 codes, 3294 comments, 3203 blanks, all 80392 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/main/java/com/example/rongcloud_im_plugin_example/TestMessage.java  | Java         |        132 |         56 |         41 |        229 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/main/res/drawable/launch_background.xml                             | XML          |          4 |          7 |          2 |         13 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/main/res/values/styles.xml                                          | XML          |          6 |          2 |          1 |          9 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/app/src/profile/AndroidManifest.xml                                         | XML          |          5 |          3 |          1 |          9 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/build.gradle                                                                | Groovy       |         25 |          0 |          5 |         30 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/gradle.properties                                                           | Properties   |          4 |          0 |          1 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/gradle/wrapper/gradle-wrapper.properties                                    | Properties   |          5 |          1 |          1 |          7 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/settings.gradle                                                             | Groovy       |         12 |          0 |          4 |         16 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/android/settings_aar.gradle                                                         | Groovy       |          1 |          0 |          1 |          2 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/assets/RCFlutterConf.json                                                           | JSON         |          5 |          0 |          0 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/assets/combine.json                                                                 | JSON         |         19 |          0 |          2 |         21 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Flutter/flutter_export_environment.sh                                           | Shell Script |         12 |          2 |          1 |         15 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/AppDelegate.h                                                            | C++          |          4 |          0 |          3 |          7 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/AppDelegate.m                                                            | Objective-C  |         28 |         30 |         13 |         71 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                         | JSON         |        122 |          0 |          1 |        123 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                       | JSON         |         23 |          0 |          1 |         24 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                           | Markdown     |          3 |          0 |          2 |          5 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/Base.lproj/LaunchScreen.storyboard                                       | XML          |         36 |          1 |          1 |         38 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/Base.lproj/Main.storyboard                                               | XML          |         25 |          1 |          1 |         27 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/RCDTestMessage.h                                                         | C++          |          7 |         27 |          8 |         42 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/RCDTestMessage.m                                                         | Objective-C  |         55 |         15 |         17 |         87 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/ios/Runner/main.m                                                                   | Objective-C  |          8 |          0 |          2 |         10 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/conversation_list_page.dart                                            | Dart         |        219 |         48 |         22 |        289 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/conversation_page.dart                                                 | Dart         |        882 |        220 |         93 |      1,195 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/file_preview_page.dart                                                 | Dart         |        146 |          6 |         16 |        168 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/image_preview_page.dart                                                | Dart         |         82 |          8 |          8 |         98 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/bottom_input_bar.dart                                             | Dart         |        419 |         70 |         43 |        532 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/bottom_tool_bar.dart                                              | Dart         |         67 |          0 |          9 |         76 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/conversation_item.dart                                            | Dart         |        516 |         62 |         36 |        614 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/conversation_list_item.dart                                       | Dart         |        324 |          8 |         21 |        353 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/message_content_list.dart                                         | Dart         |        201 |         13 |         34 |        248 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/message_item_factory.dart                                         | Dart         |        613 |         28 |         21 |        662 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/item/widget_util.dart                                                  | Dart         |        222 |          8 |         12 |        242 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/sight/record_bottom_item.dart                                          | Dart         |        155 |          5 |         17 |        177 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/sight/record_top_item.dart                                             | Dart         |        120 |          5 |         15 |        140 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/sight/video_play_page.dart                                             | Dart         |         74 |          1 |         12 |         87 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/pages/sight/video_record_page.dart                                           | Dart         |        261 |         15 |         40 |        316 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/bloc/bloc_provider.dart                                                 | Dart         |         31 |          1 |          9 |         41 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/bloc/message_bloc.dart                                                  | Dart         |         21 |          1 |          5 |         27 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/code_util.dart                                                          | Dart         |         45 |          1 |          2 |         48 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/combine_message_util.dart                                               | Dart         |        459 |         20 |         44 |        523 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/db_manager.dart                                                         | Dart         |         90 |          1 |         10 |        101 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/dialog_util.dart                                                        | Dart         |         62 |          0 |          3 |         65 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/event_bus.dart                                                          | Dart         |         42 |          5 |          7 |         54 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/file.dart                                                               | Dart         |         69 |          1 |          6 |         76 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/file_suffix.dart                                                        | Dart         |        126 |          0 |         13 |        139 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/http_util.dart                                                          | Dart         |         49 |          8 |          4 |         61 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/media_util.dart                                                         | Dart         |         98 |         27 |         13 |        138 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/style.dart                                                              | Dart         |        250 |         16 |         25 |        291 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/time.dart                                                               | Dart         |         49 |          6 |          5 |         60 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/util/user_info_datesource.dart                                               | Dart         |        130 |          6 |         22 |        158 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/widget/cachImage/cached_image_widget.dart                                    | Dart         |        310 |         83 |         46 |        439 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/im/widget/cachImage/cached_network_image_provider.dart                          | Dart         |         69 |          6 |         19 |         94 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/main.dart                                                                       | Dart         |        153 |          8 |         29 |        190 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/chat_debug_page.dart                                                      | Dart         |        420 |          0 |         31 |        451 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/chatroom_debug_page.dart                                                  | Dart         |        181 |          0 |         23 |        204 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/contacts_page.dart                                                        | Dart         |        105 |         10 |         14 |        129 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/debug_page.dart                                                           | Dart         |        227 |          6 |         15 |        248 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/home_page.dart                                                            | Dart         |         75 |          7 |          9 |         91 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/login_page.dart                                                           | Dart         |        131 |          4 |         14 |        149 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/message_read_page.dart                                                    | Dart         |         82 |          1 |         10 |         93 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/search_message_page.dart                                                  | Dart         |        109 |          0 |          8 |        117 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/other/select_conversation_page.dart                                             | Dart         |        149 |         16 |         18 |        183 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/router.dart                                                                     | Dart         |         50 |          2 |          5 |         57 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/test_message.dart                                                               | Dart         |         38 |          5 |         10 |         53 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/lib/user_data.dart                                                                  | Dart         |          1 |          1 |          0 |          2 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/CHANGELOG.md                                                    | Markdown     |          2 |          0 |          2 |          4 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/README.md                                                       | Markdown     |         10 |          0 |          5 |         15 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/assets/svg/back.svg                                             | XML          |          1 |          0 |          0 |          1 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/assets/svg/shaixuan.svg                                         | XML          |          1 |          0 |          0 |          1 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/assets/svg/sousuo.svg                                           | XML          |          7 |          0 |          1 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/config/net/Config.dart                                      | Dart         |          5 |          6 |          1 |         12 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/config/net/api.dart                                         | Dart         |         56 |          7 |         17 |         80 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/config/net/pgyer_api.dart                                   | Dart         |         70 |         25 |         10 |        105 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/config/resource_mananger.dart                               | Dart         |         63 |         13 |         11 |         87 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/model/data_model.dart                                       | Dart         |        116 |         24 |         19 |        159 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/paixs_utils.dart                                            | Dart         |          0 |         30 |          3 |         33 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/util/interface.dart                                         | Dart         |         85 |          3 |          6 |         94 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/util/textedit_util.dart                                     | Dart         |         55 |          4 |          5 |         64 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/util/utils.dart                                             | Dart         |        314 |         63 |         36 |        413 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/CPicker_widget.dart                                  | Dart         |        338 |          2 |         31 |        371 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/anima_switch_widget.dart                             | Dart         |        155 |         19 |         22 |        196 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/animated_switcher_widget.dart                        | Dart         |        199 |          0 |         18 |        217 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/btmbtn_widget.dart                                   | Dart         |        153 |          3 |          4 |        160 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/button.dart                                          | Dart         |         69 |          0 |          3 |         72 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/custom_route.dart                                    | Dart         |         69 |          1 |          4 |         74 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/custom_scroll_physics.dart                           | Dart         |         17 |          1 |          3 |         21 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/image.dart                                           | Dart         |        123 |         15 |          6 |        144 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/inkbtn_widget.dart                                   | Dart         |         30 |          0 |          4 |         34 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/item_tap_widget.dart                                 | Dart         |         30 |          0 |          3 |         33 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/matrix4_transform.dart                               | Dart         |        147 |         86 |         40 |        273 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/my_classicHeader.dart                                | Dart         |        262 |          0 |         22 |        284 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/my_custom_scroll.dart                                | Dart         |        146 |          1 |          4 |        151 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/mylistview.dart                                      | Dart         |        361 |          9 |         12 |        382 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/mytext.dart                                          | Dart         |         91 |          3 |          7 |        101 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/pages.dart                                           | Dart         |         67 |          0 |         18 |         85 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/photo_widget.dart                                    | Dart         |        162 |          3 |          9 |        174 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/pop_widget.dart                                      | Dart         |        318 |          2 |         28 |        348 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/rating_bar.dart                                      | Dart         |        615 |          7 |          9 |        631 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/refresher_widget.dart                                | Dart         |         60 |          0 |          5 |         65 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/route.dart                                           | Dart         |        914 |         94 |         99 |      1,107 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/scaffold_widget.dart                                 | Dart         |         56 |          0 |          5 |         61 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/sheet_widget.dart                                    | Dart         |        307 |          1 |         32 |        340 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/shimmer_widget.dart                                  | Dart         |        444 |         11 |         14 |        469 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/tab_widget.dart                                      | Dart         |         62 |          1 |          7 |         70 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/tween_widget.dart                                    | Dart         |        117 |          1 |          7 |        125 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/upimage_widget.dart                                  | Dart         |          0 |        190 |          7 |        197 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/views.dart                                           | Dart         |      1,535 |        108 |         40 |      1,683 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/widget_tap.dart                                      | Dart         |        142 |          3 |         10 |        155 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/lib/widget/wrapImg_widget.dart                                  | Dart         |         62 |          0 |          5 |         67 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/package/paixs_utils/pubspec.yaml                                                    | YAML         |         32 |         35 |          8 |         75 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/pubspec.yaml                                                                        | YAML         |         45 |         46 |         15 |        106 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/imkit-flutter-quickstart/test/widget_test.dart                                                               | Dart         |         13 |          8 |          3 |         24 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/CHANGELOG.md                                                                                     | Markdown     |          2 |          0 |          2 |          4 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/README.md                                                                                        | Markdown     |         10 |          0 |          5 |         15 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/assets/svg/back.svg                                                                              | XML          |          1 |          0 |          0 |          1 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/assets/svg/shaixuan.svg                                                                          | XML          |          1 |          0 |          0 |          1 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/assets/svg/sousuo.svg                                                                            | XML          |          7 |          0 |          1 |          8 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/config/net/Config.dart                                                                       | Dart         |          5 |          6 |          1 |         12 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/config/net/api.dart                                                                          | Dart         |         56 |          7 |         17 |         80 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/config/net/pgyer_api.dart                                                                    | Dart         |         71 |         27 |         10 |        108 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/config/resource_mananger.dart                                                                | Dart         |         63 |         13 |         11 |         87 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/model/data_model.dart                                                                        | Dart         |        116 |         24 |         19 |        159 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/paixs_utils.dart                                                                             | Dart         |          0 |         30 |          3 |         33 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/util/interface.dart                                                                          | Dart         |         86 |          3 |          6 |         95 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/util/textedit_util.dart                                                                      | Dart         |         55 |          4 |          5 |         64 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/util/utils.dart                                                                              | Dart         |        340 |         47 |         37 |        424 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/CPicker_widget.dart                                                                   | Dart         |        338 |          2 |         31 |        371 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/anima_switch_widget.dart                                                              | Dart         |        155 |         19 |         22 |        196 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/animated_switcher_widget.dart                                                         | Dart         |        199 |          0 |         18 |        217 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/btmbtn_widget.dart                                                                    | Dart         |        153 |          3 |          4 |        160 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/button.dart                                                                           | Dart         |         69 |          0 |          3 |         72 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/custom_route.dart                                                                     | Dart         |         69 |          1 |          4 |         74 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/custom_scroll_physics.dart                                                            | Dart         |         17 |          1 |          3 |         21 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/image.dart                                                                            | Dart         |        123 |         15 |          6 |        144 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/inkbtn_widget.dart                                                                    | Dart         |         30 |          0 |          4 |         34 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/item_tap_widget.dart                                                                  | Dart         |         30 |          0 |          3 |         33 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/matrix4_transform.dart                                                                | Dart         |        147 |         86 |         40 |        273 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/my_classicHeader.dart                                                                 | Dart         |        262 |          0 |         22 |        284 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/my_custom_scroll.dart                                                                 | Dart         |        146 |          1 |          4 |        151 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/mylistview.dart                                                                       | Dart         |        361 |          9 |         12 |        382 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/mytext.dart                                                                           | Dart         |         91 |          3 |          7 |        101 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/pages.dart                                                                            | Dart         |         67 |          0 |         18 |         85 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/photo_widget.dart                                                                     | Dart         |        162 |          3 |          9 |        174 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/pop_widget.dart                                                                       | Dart         |        318 |          2 |         28 |        348 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/rating_bar.dart                                                                       | Dart         |        615 |          7 |          9 |        631 |
| /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei/package/paixs_utils/lib/widget/refresher_widget.dart                                                                 | Dart         |         60 |          0 |          5 |         65 |
